,image,pat,kurt0,skew0,zerod0,RMS0,MaxF0,SumEnergy0,BandEnergy01,BandEnergy02,BandEnergy03,BandEnergy04,BandEnergy05,Mobility0,Complexity0,kurt1,skew1,zerod1,RMS1,MaxF1,SumEnergy1,BandEnergy11,BandEnergy12,BandEnergy13,BandEnergy14,BandEnergy15,Mobility1,Complexity1,kurt2,skew2,zerod2,RMS2,MaxF2,SumEnergy2,BandEnergy21,BandEnergy22,BandEnergy23,BandEnergy24,BandEnergy25,Mobility2,Complexity2,kurt3,skew3,zerod3,RMS3,MaxF3,SumEnergy3,BandEnergy31,BandEnergy32,BandEnergy33,BandEnergy34,BandEnergy35,Mobility3,Complexity3,kurt4,skew4,zerod4,RMS4,MaxF4,SumEnergy4,BandEnergy41,BandEnergy42,BandEnergy43,BandEnergy44,BandEnergy45,Mobility4,Complexity4,kurt5,skew5,zerod5,RMS5,MaxF5,SumEnergy5,BandEnergy51,BandEnergy52,BandEnergy53,BandEnergy54,BandEnergy55,Mobility5,Complexity5,kurt6,skew6,zerod6,RMS6,MaxF6,SumEnergy6,BandEnergy61,BandEnergy62,BandEnergy63,BandEnergy64,BandEnergy65,Mobility6,Complexity6,kurt7,skew7,zerod7,RMS7,MaxF7,SumEnergy7,BandEnergy71,BandEnergy72,BandEnergy73,BandEnergy74,BandEnergy75,Mobility7,Complexity7,kurt8,skew8,zerod8,RMS8,MaxF8,SumEnergy8,BandEnergy81,BandEnergy82,BandEnergy83,BandEnergy84,BandEnergy85,Mobility8,Complexity8,kurt9,skew9,zerod9,RMS9,MaxF9,SumEnergy9,BandEnergy91,BandEnergy92,BandEnergy93,BandEnergy94,BandEnergy95,Mobility9,Complexity9,kurt10,skew10,zerod10,RMS10,MaxF10,SumEnergy10,BandEnergy101,BandEnergy102,BandEnergy103,BandEnergy104,BandEnergy105,Mobility10,Complexity10,kurt11,skew11,zerod11,RMS11,MaxF11,SumEnergy11,BandEnergy111,BandEnergy112,BandEnergy113,BandEnergy114,BandEnergy115,Mobility11,Complexity11,kurt12,skew12,zerod12,RMS12,MaxF12,SumEnergy12,BandEnergy121,BandEnergy122,BandEnergy123,BandEnergy124,BandEnergy125,Mobility12,Complexity12,kurt13,skew13,zerod13,RMS13,MaxF13,SumEnergy13,BandEnergy131,BandEnergy132,BandEnergy133,BandEnergy134,BandEnergy135,Mobility13,Complexity13,kurt14,skew14,zerod14,RMS14,MaxF14,SumEnergy14,BandEnergy141,BandEnergy142,BandEnergy143,BandEnergy144,BandEnergy145,Mobility14,Complexity14,kurt15,skew15,zerod15,RMS15,MaxF15,SumEnergy15,BandEnergy151,BandEnergy152,BandEnergy153,BandEnergy154,BandEnergy155,Mobility15,Complexity15
0,Pat1Train_7_1.mat,1,1.390018486,-0.120406143,24158,0.976806694,7,2.764557863,0.50010452,0.222647237,0.080639574,0.18725399,0.008419777,0.667167664,2.050670032,1.312248272,-0.160282864,23453,0.975377977,7,2.662794635,0.607988826,0.218994509,0.060886843,0.103594538,0.007679467,0.529705633,2.506803902,2.908923164,-0.442331988,21862,0.984075388,7,2.900054523,0.638490314,0.235196312,0.052538848,0.069205894,0.004142518,0.474016042,2.578708265,3.158478218,-0.278244978,15613,0.990472556,5,2.698971902,0.76418198,0.196914804,0.021820732,0.016443165,0.000579166,0.286630971,3.044250088,7.455165539,-0.117882256,20422,0.982463866,7,3.045977291,0.612819541,0.275948505,0.045280529,0.061422896,0.004016116,0.459845389,2.551126238,2.712980712,-0.153266222,17748,0.986711961,6,3.044275368,0.658464972,0.267002697,0.039436021,0.033483044,0.001453706,0.383973489,2.596445019,4.404639815,-0.220887195,17490,0.989309692,3,3.021004767,0.741697668,0.181626565,0.045422452,0.030261993,0.000903698,0.348179729,2.748528029,2.593496352,-0.167117528,17530,0.979569679,5,2.967517664,0.572945348,0.311070045,0.064981597,0.048747523,0.002058683,0.436060755,2.346004386,2.386028438,-0.171467127,17820,0.988931679,7,3.072483794,0.576894953,0.25509622,0.100219549,0.066189137,0.001438394,0.470922598,2.165099449,1.628111281,-0.197516685,17703,0.979955397,2,2.728916929,0.604921004,0.278867606,0.062432955,0.05105958,0.002469512,0.41966298,2.606627135,3.796904684,-0.217904058,16482,0.983281784,7,2.978985344,0.638799988,0.239836155,0.059881083,0.058535042,0.00262459,0.45147746,2.481280444,8.536185295,0.896547562,15029,0.989488356,4,3.040765316,0.831160547,0.151021898,0.010726261,0.00672694,0.000327916,0.248503411,2.992075529,3.074502832,0.256395684,15465,0.985674989,3,2.996344893,0.789672696,0.163114872,0.026714286,0.019581751,0.000833777,0.304651382,3.086295671,4.577464701,-0.629955124,17550,0.957946479,7,2.825537818,0.620052588,0.263554339,0.057201251,0.05586157,0.003032837,0.444290097,2.497653433,8.563768208,-0.090534102,16255,0.987165746,7,3.070542154,0.653243051,0.275595051,0.040433147,0.029641314,0.000978115,0.380131017,2.437330509,2.640121998,-0.414599753,15848,0.98858705,6,3.060183296,0.784075262,0.172407201,0.024242822,0.018239127,0.000934812,0.310576008,3.051797513
1,Pat1Train_8_0.mat,1,1.253168591,-0.154954525,24670,0.97734279,2,2.820332339,0.625443266,0.191856802,0.040283992,0.133982715,0.007641196,0.582808796,2.382582029,0.76604183,-0.086565085,23127,0.978336062,4,2.697167928,0.663269649,0.205223859,0.047527301,0.076982177,0.006368209,0.472167087,2.759483538,1.777689791,-0.272758297,21169,0.985423976,4,2.95707336,0.70441527,0.204137535,0.040349116,0.047884789,0.002890772,0.413482592,2.842490321,1.423574079,-0.214305612,14582,0.990271047,4,2.815003961,0.793222865,0.172549262,0.019803872,0.013768141,0.00059488,0.275292503,3.183971166,4.265372911,-0.200305276,19547,0.984270499,8,3.060090792,0.691180322,0.222218422,0.036264737,0.046822678,0.003238215,0.419264066,2.763651417,2.219723977,-0.317781248,17077,0.987126828,3,3.081857157,0.728227561,0.216465564,0.0297424,0.024245592,0.001199263,0.343394731,2.814988163,2.200922468,-0.442156098,16566,0.989038525,3,3.076584564,0.775001875,0.16331033,0.03884865,0.022029715,0.000731924,0.321137832,2.878575415,1.343629536,0.005880637,17449,0.977313531,5,2.979769225,0.652852699,0.256530805,0.05029209,0.03817557,0.001957002,0.396051141,2.612695992,2.198338604,-0.346472851,17177,0.988269141,2,3.115923728,0.700588967,0.206688341,0.05253501,0.039148051,0.000934735,0.382761797,2.538761483,1.049936261,-0.228092026,16805,0.97664697,2,2.697262855,0.696994153,0.209006303,0.049511287,0.042164649,0.002095536,0.376348599,2.90363712,2.577094457,-0.00537583,16042,0.983189616,7,3.085436489,0.713161981,0.195280352,0.041519972,0.047454853,0.002332763,0.414803899,2.693338804,2.981315825,0.559092574,13059,0.990314944,3,3.194695922,0.837818328,0.149377723,0.00843726,0.004090223,0.000253015,0.233165057,2.858910691,1.603954414,0.155744398,14955,0.98327863,2,3.008912707,0.820109866,0.136257418,0.025332735,0.017182063,0.001013385,0.286660126,3.435246178,2.919943344,-0.449674285,17163,0.941765549,7,2.737988744,0.679603968,0.217914149,0.0501195,0.049403847,0.00269994,0.420250381,2.649853134,4.307814443,-0.040965884,14363,0.986427668,8,3.129161615,0.74422183,0.208163441,0.02915282,0.017496809,0.000887075,0.329757011,2.610509115,0.986248059,-0.254390965,14885,0.9880046,3,3.063176198,0.84009897,0.128363112,0.018869406,0.01186585,0.000728443,0.266978524,3.390369066
2,Pat1Train_9_0.mat,1,1.183829315,-0.094631279,26208,0.971285409,2,2.759781783,0.662424486,0.187096358,0.035417444,0.105649429,0.008347924,0.546287482,2.600990251,0.949648984,-0.105960476,24944,0.970258151,4,2.750735668,0.676772253,0.197457612,0.040426443,0.076587748,0.007964429,0.487641147,2.782606847,1.35446985,-0.301014494,24327,0.97413206,4,2.923158484,0.765296069,0.154194512,0.028450357,0.044966063,0.006459021,0.412674838,3.231381862,1.24657396,-0.122443402,16179,0.989942238,4,2.952890432,0.814515819,0.155829216,0.016845068,0.012166342,0.000580752,0.269808372,3.199493519,23.57840629,-0.951532999,21113,0.979685209,9,2.990334098,0.64482745,0.213954345,0.05104237,0.082842524,0.006703418,0.517718909,2.488098855,3.475721296,-0.286366678,19590,0.980873214,3,3.01761693,0.714422155,0.215341206,0.032974178,0.034293831,0.002643649,0.384242478,2.919841303,2.894356103,-0.516232372,19171,0.984786411,3,2.997023078,0.784025963,0.159353802,0.031555759,0.02336736,0.001534819,0.323468613,3.176432411,1.412601877,-0.087172815,20178,0.959918213,3,2.885986863,0.643871826,0.267032821,0.043034517,0.041096779,0.004491394,0.420911777,2.794669263,2.624964988,-0.466107339,19936,0.984723875,2,3.041165118,0.739813497,0.194753144,0.034016699,0.029677304,0.001586383,0.353447498,2.924961528,0.995237427,-0.237589994,18971,0.97495113,2,2.804043307,0.700986632,0.209798425,0.047382023,0.039488829,0.002127482,0.378020893,2.87327694,2.604289457,0.184233634,17456,0.983554067,7,3.060893246,0.727791295,0.197711519,0.035153177,0.037049894,0.002076364,0.388801681,2.769522969,1.685212329,0.529816542,13369,0.99037171,3,3.105280494,0.845302321,0.142517434,0.008548207,0.003339665,0.000265987,0.226916137,2.894580316,1.65564572,0.28413517,16265,0.983816291,2,2.997360907,0.80601087,0.154941094,0.022430867,0.015547131,0.000972416,0.286766628,3.311490966,3.392166296,-0.464929547,18242,0.946351392,7,2.75435836,0.665954857,0.232093402,0.053462642,0.045722869,0.00251314,0.417026842,2.593883857,2.823596471,0.081572989,15415,0.986435526,8,3.077443706,0.756768359,0.201044092,0.026852011,0.014553238,0.000708119,0.316194741,2.62654671,1.169061203,-0.232867028,16678,0.987298575,2,3.031761826,0.837000545,0.134303415,0.016797857,0.011008276,0.00081355,0.262919732,3.49859794
3,Pat1Train_10_0.mat,1,1.485079425,-0.164529664,26136,0.973386388,2,2.74807898,0.628925406,0.190257007,0.043426531,0.127035331,0.009260243,0.580885705,2.436939412,1.051349637,-0.187474093,24647,0.973908677,4,2.701309504,0.661669635,0.200526343,0.047775923,0.081497115,0.007711159,0.492642202,2.732805325,1.648423013,-0.327664716,24068,0.979655704,4,2.883030088,0.724505676,0.177906807,0.036561514,0.054930977,0.005510135,0.438517766,2.989755225,1.813942925,-0.314858008,16047,0.990150346,3,2.858507534,0.800390339,0.166761951,0.019472369,0.012744297,0.000572938,0.273557243,3.158479362,26.82818108,-0.803904929,21129,0.979942515,8,3.037132704,0.632872396,0.229800848,0.047012735,0.082288876,0.007272564,0.508860635,2.54761628,3.021205117,-0.262627276,19128,0.983811177,3,3.045981939,0.701322348,0.234137825,0.031453206,0.030718162,0.002145841,0.370029215,2.866862697,6.172156317,0.21309056,18673,0.987411605,3,2.68311592,0.780739681,0.15782089,0.035618185,0.024576209,0.001135857,0.306650319,3.205688488,1.584881667,-0.051437877,19292,0.97012581,3,2.927104531,0.651149009,0.253855594,0.04793031,0.043421129,0.003348435,0.415035641,2.677493338,2.424325464,-0.338886005,19482,0.98643567,3,3.062096203,0.690213867,0.219481722,0.047652843,0.040972174,0.001513444,0.389842394,2.647688755,1.152288827,-0.205171642,18402,0.97810251,3,2.711549383,0.673136985,0.229790012,0.050586054,0.043984485,0.002261886,0.388095105,2.834212816,2.7315415,0.11650881,17103,0.983693635,6,3.036227149,0.700155753,0.212549955,0.040753954,0.043902607,0.002400721,0.408839944,2.707560995,2.318139632,0.596005951,13610,0.990306361,3,3.129284872,0.858894637,0.129629569,0.00768445,0.003507022,0.000259588,0.223186705,3.020693605,1.983453123,0.230421998,16054,0.98500753,3,2.958468743,0.787647621,0.166259349,0.025425726,0.019615321,0.000960045,0.302012497,3.167405985,3.207599108,-0.437393999,18098,0.952709301,7,2.801805906,0.650659113,0.236546643,0.05615503,0.053885908,0.002487643,0.435363468,2.517536988,3.977516872,0.199533709,15199,0.987192951,8,3.107814286,0.727285972,0.223834249,0.031172584,0.01699811,0.000640168,0.329066867,2.52632843,1.265062692,-0.203879826,16116,0.988000957,3,3.046694044,0.829615513,0.138373653,0.019138677,0.012068927,0.000724066,0.270612272,3.347405588
4,Pat1Train_11_0.mat,1,1.264749149,-0.149897482,24463,0.979015274,2,2.900689111,0.63384136,0.183948576,0.039684972,0.135565416,0.006258974,0.585482552,2.340591049,0.813149026,-0.199729133,23149,0.979087337,4,2.714671425,0.680044587,0.187622506,0.048809037,0.077034907,0.005887876,0.47052068,2.772345755,1.570777224,-0.355668898,21562,0.985996019,4,2.887913634,0.718589469,0.189262747,0.039272022,0.049669244,0.002896976,0.409878945,2.933578522,1.065511038,-0.210776215,14594,0.990194781,4,2.819321775,0.816648647,0.154892287,0.016207706,0.011641348,0.000551355,0.261998438,3.233511827,10.77374229,-0.218049232,19736,0.981340961,6,3.036681391,0.683492528,0.219510261,0.037697984,0.054029686,0.004676751,0.453770991,2.747972404,2.897201727,-0.453638927,17195,0.986850943,4,3.094037081,0.713382493,0.227520994,0.030150078,0.027274066,0.00150683,0.358514718,2.830161106,1.760429937,-0.57031935,16719,0.98890482,3,3.098703009,0.798855219,0.150640228,0.029817293,0.019855842,0.000748583,0.306666058,3.049581401,1.227239361,-0.098915066,17290,0.978717603,4,3.020757289,0.67519573,0.243258536,0.044785789,0.03485741,0.001723586,0.38360995,2.678336383,1.918318554,-0.330306184,17514,0.98841742,2,3.110961461,0.673874269,0.217970148,0.060140541,0.046936097,0.000973342,0.402798441,2.452769127,0.812849032,-0.222341321,16897,0.977823934,2,2.671208889,0.708849267,0.204355418,0.046398975,0.038470184,0.001746453,0.360046209,2.95766747,2.329069528,0.17826238,15853,0.983884976,7,3.043671884,0.724616021,0.196713736,0.036231743,0.040053215,0.002125298,0.391511131,2.776241285,1.746496088,0.600050229,12291,0.990468616,3,3.145829789,0.852055413,0.136640814,0.007921633,0.003122569,0.000237605,0.223233402,2.885322842,1.231710913,0.188652208,14630,0.983427017,3,2.975438589,0.813007037,0.144169417,0.024311828,0.017474194,0.000947125,0.291081686,3.31789581,2.431255129,-0.372781989,17066,0.944422729,8,2.743423804,0.671739053,0.216914902,0.057880852,0.050461435,0.002741212,0.425326971,2.58644876,3.265017999,0.077516927,14079,0.986322504,8,3.082031306,0.758989071,0.201757345,0.024580744,0.014018626,0.000593879,0.311408954,2.584286749,0.856518528,-0.208642258,14930,0.987611232,3,3.06178074,0.837818292,0.13216503,0.018253672,0.010997613,0.000689882,0.26304391,3.41788005
5,Pat1Train_12_0.mat,1,1.066288818,-0.126237869,23471,0.979184306,3,2.863232003,0.620751739,0.196118319,0.040810707,0.134703323,0.006762149,0.584321812,2.348118611,0.691460232,-0.205456494,22066,0.979808397,5,2.781306621,0.668317001,0.206302554,0.046548415,0.072488963,0.005750007,0.46947194,2.755948681,1.363350764,-0.397426058,19690,0.986529865,4,2.810630303,0.710815443,0.19919491,0.040602492,0.046473988,0.002617772,0.39734469,2.936488395,0.775462615,-0.139304044,12981,0.990331509,3,2.770073097,0.802647338,0.165612544,0.018404645,0.012715342,0.000562983,0.266315466,3.206244628,14.71443841,-0.365846645,18202,0.980288156,8,3.058018067,0.653939656,0.225199514,0.044573869,0.068451611,0.007087187,0.489450972,2.620258494,2.956183818,-0.390029923,15675,0.987196986,5,3.064551207,0.718504799,0.21931945,0.03149721,0.028886162,0.001625205,0.363397331,2.857400083,2.428749831,-0.374080431,15074,0.98928516,3,3.034396288,0.800736425,0.147084783,0.031454417,0.019922662,0.000724301,0.303459219,3.061999237,1.21783311,-0.047008736,15774,0.978982259,3,3.014377607,0.671363356,0.254052696,0.040419805,0.032321588,0.001673904,0.376976915,2.687105445,1.409936352,-0.236306222,15791,0.989009803,2,3.09219315,0.67400948,0.229546329,0.054121615,0.041308932,0.00091061,0.391708989,2.457208363,0.630365515,-0.189585885,15123,0.977679033,2,2.777157508,0.710471527,0.204213899,0.045104106,0.038365607,0.001676496,0.367446028,2.884163947,1.729087928,0.014486259,14334,0.984197776,7,3.082763191,0.729409224,0.196141544,0.034237135,0.037813819,0.002165583,0.389839924,2.794015965,1.345813862,0.603122263,10195,0.990606137,2,3.166123817,0.849079468,0.13986665,0.007832687,0.002980679,0.000222292,0.224560521,2.771121434,0.614814774,0.171560782,12963,0.983558874,2,2.981002043,0.798975979,0.156377186,0.026267136,0.017350843,0.000934277,0.292662931,3.234569613,2.107777263,-0.300435826,15451,0.946702687,8,2.765853715,0.691449975,0.214907423,0.050894469,0.040443657,0.002081547,0.399812028,2.64148623,2.933346356,0.040864679,12328,0.986647371,9,3.124146855,0.753967136,0.205155891,0.025262241,0.014950702,0.000605224,0.320501788,2.525386768,0.621470245,-0.323178118,13085,0.987978747,2,3.028271427,0.839738768,0.130771138,0.017979453,0.010693668,0.000738675,0.263717215,3.377382598
6,Pat1Train_13_0.mat,1,3.396696786,-0.222116856,28957,0.977983864,8,2.869386765,0.588778333,0.204594752,0.052294306,0.145783523,0.007595634,0.611019761,2.24365164,2.780840057,-0.223558898,27899,0.978680953,8,2.699352152,0.652954232,0.204934891,0.055409167,0.079724087,0.006260977,0.48235205,2.687248731,4.257914506,-0.429158831,26793,0.985568855,4,2.846903961,0.674274457,0.218463938,0.04906847,0.054368792,0.003458072,0.433210995,2.733222607,3.355037001,-0.285935016,21917,0.989852836,3,2.88414769,0.782812152,0.179355959,0.022119518,0.014968111,0.000674218,0.287119482,3.110715727,7.79069129,-0.253666826,25516,0.98278472,7,3.065413138,0.634519675,0.258160333,0.051485494,0.051587227,0.0038328,0.442684149,2.600248146,5.275064339,-0.244923983,23794,0.987523683,7,3.027954951,0.673377026,0.261559272,0.035315665,0.028234621,0.001362775,0.367739402,2.645222598,6.780413609,0.147884993,23325,0.989063746,3,2.854083815,0.752746238,0.170870114,0.047367514,0.028050596,0.000877412,0.331144951,2.884837106,3.340942949,-0.103445275,23467,0.981122905,5,3.002393456,0.642452089,0.259166126,0.055956002,0.040566228,0.001700138,0.405789874,2.4973922,3.970234679,-0.222287786,23837,0.989016932,3,3.082116659,0.58761103,0.276462642,0.077771352,0.056851482,0.001175366,0.448375,2.206975962,2.678292689,-0.265272061,23308,0.979826518,3,2.905428671,0.629490027,0.251426121,0.066292895,0.050355901,0.002208006,0.429708142,2.524530644,5.188168462,0.000464726,22764,0.984183044,6,3.011181466,0.674852103,0.228345067,0.047725287,0.046674245,0.002205211,0.417108395,2.589876698,6.447654583,0.977188418,20833,0.99011826,3,3.085271268,0.838277575,0.145461506,0.010023892,0.005855702,0.000343925,0.240287648,3.045012481,3.684391411,0.23622371,21615,0.985530627,3,3.021783269,0.789184159,0.160078093,0.029146572,0.020659444,0.000853522,0.308582961,3.030856496,5.394208899,-0.587955117,23244,0.95658256,7,2.846246586,0.635302968,0.243357465,0.062166705,0.056452817,0.00247765,0.448142578,2.44122467,8.418153599,0.065882829,21553,0.98727042,8,3.069744202,0.695995353,0.243674389,0.036797027,0.022694202,0.000762006,0.354020449,2.478729023,2.680751001,-0.221624693,22032,0.987850163,3,3.013106846,0.796122764,0.158603324,0.027208414,0.017139747,0.000835679,0.298781835,3.100397537
7,Pat1Train_14_0.mat,1,2.664449638,-0.196073254,28690,0.976873794,2,2.733881834,0.570401872,0.189176639,0.067898629,0.163285881,0.008195001,0.62583339,2.216752295,2.059218265,-0.212784084,27772,0.978446463,4,2.27029328,0.645924686,0.205493798,0.05212357,0.088517435,0.007139495,0.458669566,2.900874577,3.830022271,-0.48018794,26586,0.984934406,4,2.671521807,0.701610292,0.19733496,0.046341176,0.05092616,0.003395972,0.404702837,2.967546172,2.616534726,-0.278458297,21961,0.989396089,3,2.525023148,0.79016515,0.177047417,0.017983097,0.013932316,0.000790276,0.262434477,3.39969696,7.113265974,-0.151297706,25098,0.983610821,6,3.017243957,0.670971213,0.238185385,0.041714301,0.045670471,0.003148424,0.426140796,2.704450706,4.45526948,-0.378613699,23341,0.986405985,4,3.016867025,0.696191826,0.2414541,0.032388499,0.028389696,0.0014293,0.360448321,2.777107699,6.495600303,-0.183970372,23121,0.988613043,3,3.004189566,0.800742738,0.146794454,0.031316828,0.020238452,0.000821789,0.306490981,3.111025672,2.790156348,-0.054532894,23174,0.978347855,4,2.964090914,0.666537329,0.254515025,0.044896321,0.032146312,0.001732355,0.380672326,2.652522384,4.880748779,-0.497710866,23676,0.987427816,2,3.053857741,0.676882126,0.218072143,0.06006309,0.043561862,0.001278943,0.39814777,2.546536518,2.583866246,-0.345132031,23054,0.976522023,2,2.843921229,0.657900232,0.239248629,0.057337595,0.043233099,0.002071831,0.399540939,2.671141568,5.74480567,0.331243032,22463,0.983793852,8,2.992945973,0.680608977,0.241538582,0.038826694,0.036882265,0.001951291,0.390908234,2.661648732,4.711137253,0.654314328,20743,0.989872033,3,3.086617406,0.831405955,0.152023858,0.010425433,0.005482175,0.000609761,0.244543235,3.172785857,3.177453772,0.228153889,21478,0.983574674,2,2.977770933,0.792616519,0.163118706,0.026286392,0.016872786,0.001005832,0.297582355,3.19970568,5.116336756,-0.512317606,22997,0.944448635,8,2.755599562,0.648385748,0.243535093,0.056421382,0.048932923,0.002475829,0.427047599,2.539791046,5.572224293,0.219300702,21454,0.985009337,8,3.069117477,0.740110978,0.215848913,0.026132628,0.016937006,0.00088579,0.324937423,2.68569957,2.94770151,-0.158007008,21769,0.987121279,3,3.019715725,0.833692203,0.133011732,0.018868553,0.013363814,0.000972572,0.274576682,3.472038373
8,Pat1Train_15_0.mat,1,2.561037441,-0.204308455,26233,0.973392946,7,2.711180039,0.506711384,0.227689881,0.062981135,0.18933969,0.011786587,0.681412524,2.090914883,1.760365797,-0.219691871,24634,0.976071619,7,2.440906654,0.593043521,0.230283607,0.058046987,0.10875358,0.008943647,0.522145481,2.601484206,2.962519228,-0.274480263,22867,0.985181267,8,2.563038632,0.5945519,0.264976104,0.060206404,0.075406245,0.004362303,0.466555979,2.615392928,3.85400818,-0.362675137,17643,0.990218111,3,2.585955844,0.776962387,0.185021536,0.020272314,0.016999134,0.000667348,0.277579241,3.266330858,24.65859534,0.345974469,21773,0.97956178,6,2.996299538,0.626971774,0.225023807,0.048197056,0.091051296,0.00771507,0.524913191,2.501701291,8.439400763,-0.18161173,19196,0.986895797,4,3.036407968,0.635807882,0.270634119,0.043618281,0.047339505,0.002334049,0.422097233,2.585660792,8.123215316,-1.179652479,20196,0.98843444,4,2.624428798,0.736895641,0.173884002,0.045890199,0.041749228,0.001402841,0.351735241,2.996827596,3.270454853,-0.230612598,19246,0.979475709,4,2.970413091,0.55405274,0.321950569,0.066276502,0.055027442,0.002419554,0.455663965,2.318982258,2.827286159,-0.261719404,19591,0.988558862,7,3.043879233,0.553780153,0.293387119,0.081465422,0.06930533,0.00184822,0.480288536,2.177280747,2.282848856,-0.424156974,18467,0.982003077,6,2.877675435,0.550288931,0.302924106,0.08308762,0.060578733,0.002806347,0.466209117,2.331619016,4.152425012,-0.221693825,17691,0.984469558,9,2.988046674,0.593024179,0.274765231,0.066191648,0.06278552,0.002930111,0.468324956,2.380548674,13.27906733,1.24385203,17489,0.989021503,4,3.081272559,0.839147074,0.141057628,0.011091963,0.008237258,0.000424556,0.252478203,3.208508698,4.390978968,0.349632404,16548,0.98745701,3,3.018584346,0.770454283,0.178490684,0.030171016,0.019965693,0.000831976,0.318141636,2.908596547,5.285028471,-0.623860702,18212,0.971660749,7,2.941486704,0.594458634,0.283934498,0.06581959,0.053130309,0.002400412,0.452006423,2.355475882,9.319112423,0.33615078,17350,0.988209821,7,3.062639051,0.654028854,0.278291244,0.04123129,0.02537834,0.000969484,0.370148294,2.404920823,2.878327186,-0.14148337,17500,0.989156579,6,2.938566171,0.745836821,0.203663492,0.028568539,0.020762722,0.001056596,0.324862529,2.916264499
9,Pat1Train_16_0.mat,1,2.609301902,-0.180979873,24564,0.973943279,8,2.751995627,0.339189338,0.240814791,0.102143963,0.303488404,0.012662099,0.815831738,1.699103531,1.035165131,-0.150633207,24149,0.970826803,8,2.460302678,0.507932566,0.246856782,0.075668073,0.15584932,0.01244195,0.609725377,2.271681532,2.203554193,-0.152726582,22434,0.983743107,8,2.510197327,0.50600765,0.314744906,0.074239792,0.098147509,0.0061478,0.519353907,2.44333148,2.780967639,-0.085684919,16733,0.989663931,4,2.374454743,0.716753928,0.224569881,0.030687594,0.02694672,0.000944705,0.305869892,3.135320371,1.93004365,-0.035852188,21127,0.980661416,5,3.018307869,0.575022362,0.284161447,0.054107304,0.08119267,0.005002639,0.5056342,2.417264046,4.146614462,-0.348279581,18412,0.986615532,8,3.051876595,0.517188791,0.359727059,0.05637645,0.063874223,0.002550271,0.470140017,2.298937403,8.789325582,-0.213365615,20287,0.986181959,3,3.047966787,0.628280555,0.215196111,0.072828071,0.080718572,0.002701702,0.483777531,2.357718115,4.252478832,-0.001909188,18951,0.976804718,9,2.992535898,0.47927034,0.366366255,0.080724629,0.070133275,0.003164183,0.502716069,2.168199892,2.98150452,-0.471291289,17711,0.990952222,8,3.078167829,0.334890432,0.384146343,0.165593297,0.112983439,0.002151368,0.595300612,1.739107647,3.316286763,-0.48785256,17905,0.984056166,8,2.893760792,0.472634899,0.364628946,0.09362086,0.065669827,0.003099547,0.494920568,2.187680059,5.201132993,-0.587809801,16208,0.985107436,8,3.008397983,0.509777787,0.323483401,0.089421746,0.073830159,0.00312905,0.509198449,2.177510635,29.91753371,1.388237431,17045,0.98675046,4,3.214779033,0.75619622,0.2034952,0.020299724,0.019034496,0.000880649,0.319553446,2.982811613,6.517196879,-0.293569779,15771,0.988057527,8,3.066519729,0.718102356,0.223247624,0.035201652,0.022512456,0.000849291,0.344791086,2.65455847,8.267175079,-1.055756685,17504,0.977087247,8,2.990471247,0.510538126,0.353654782,0.070169178,0.062316428,0.003034522,0.489174159,2.217726514,16.11816949,0.194952073,18013,0.986073882,8,3.078687409,0.531147801,0.371749014,0.054204056,0.040783892,0.001912469,0.437972801,2.271664175,3.336756227,-0.217130286,17464,0.988894268,8,2.82844339,0.646320721,0.278518129,0.041529162,0.031803427,0.001639825,0.373227124,2.678775707
