,image,pat,kurt0,skew0,zerod0,RMS0,MaxF0,SumEnergy0,BandEnergy01,BandEnergy02,BandEnergy03,BandEnergy04,BandEnergy05,Mobility0,Complexity0,kurt1,skew1,zerod1,RMS1,MaxF1,SumEnergy1,BandEnergy11,BandEnergy12,BandEnergy13,BandEnergy14,BandEnergy15,Mobility1,Complexity1,kurt2,skew2,zerod2,RMS2,MaxF2,SumEnergy2,BandEnergy21,BandEnergy22,BandEnergy23,BandEnergy24,BandEnergy25,Mobility2,Complexity2,kurt3,skew3,zerod3,RMS3,MaxF3,SumEnergy3,BandEnergy31,BandEnergy32,BandEnergy33,BandEnergy34,BandEnergy35,Mobility3,Complexity3,kurt4,skew4,zerod4,RMS4,MaxF4,SumEnergy4,BandEnergy41,BandEnergy42,BandEnergy43,BandEnergy44,BandEnergy45,Mobility4,Complexity4,kurt5,skew5,zerod5,RMS5,MaxF5,SumEnergy5,BandEnergy51,BandEnergy52,BandEnergy53,BandEnergy54,BandEnergy55,Mobility5,Complexity5,kurt6,skew6,zerod6,RMS6,MaxF6,SumEnergy6,BandEnergy61,BandEnergy62,BandEnergy63,BandEnergy64,BandEnergy65,Mobility6,Complexity6,kurt7,skew7,zerod7,RMS7,MaxF7,SumEnergy7,BandEnergy71,BandEnergy72,BandEnergy73,BandEnergy74,BandEnergy75,Mobility7,Complexity7,kurt8,skew8,zerod8,RMS8,MaxF8,SumEnergy8,BandEnergy81,BandEnergy82,BandEnergy83,BandEnergy84,BandEnergy85,Mobility8,Complexity8,kurt9,skew9,zerod9,RMS9,MaxF9,SumEnergy9,BandEnergy91,BandEnergy92,BandEnergy93,BandEnergy94,BandEnergy95,Mobility9,Complexity9,kurt10,skew10,zerod10,RMS10,MaxF10,SumEnergy10,BandEnergy101,BandEnergy102,BandEnergy103,BandEnergy104,BandEnergy105,Mobility10,Complexity10,kurt11,skew11,zerod11,RMS11,MaxF11,SumEnergy11,BandEnergy111,BandEnergy112,BandEnergy113,BandEnergy114,BandEnergy115,Mobility11,Complexity11,kurt12,skew12,zerod12,RMS12,MaxF12,SumEnergy12,BandEnergy121,BandEnergy122,BandEnergy123,BandEnergy124,BandEnergy125,Mobility12,Complexity12,kurt13,skew13,zerod13,RMS13,MaxF13,SumEnergy13,BandEnergy131,BandEnergy132,BandEnergy133,BandEnergy134,BandEnergy135,Mobility13,Complexity13,kurt14,skew14,zerod14,RMS14,MaxF14,SumEnergy14,BandEnergy141,BandEnergy142,BandEnergy143,BandEnergy144,BandEnergy145,Mobility14,Complexity14,kurt15,skew15,zerod15,RMS15,MaxF15,SumEnergy15,BandEnergy151,BandEnergy152,BandEnergy153,BandEnergy154,BandEnergy155,Mobility15,Complexity15
0,Pat1Train_36_0.mat,1,1.375535884,-0.21164331,23236,0.976661988,7,2.87347682,0.368428939,0.234453015,0.12018347,0.265087292,0.010626363,0.785536332,1.735608741,1.123979628,-0.060495728,23273,0.974678055,7,2.604589296,0.494487544,0.258332444,0.079001479,0.156538672,0.010475599,0.623943384,2.190183087,2.498147463,-0.256435902,21850,0.984045816,7,2.64473803,0.487631189,0.319691486,0.073044826,0.113157585,0.005731178,0.55561705,2.312164265,4.43076692,-0.552614885,15546,0.990478439,6,2.835312013,0.765841928,0.190113502,0.023956593,0.019331156,0.000684099,0.303158446,3.000691946,30.53949276,-0.436457516,19255,0.979168505,7,3.100485041,0.548250171,0.25044202,0.06786233,0.121946715,0.010528784,0.606440115,2.231995745,8.991643236,-0.397018295,16718,0.987273304,7,3.080937934,0.55089383,0.320080108,0.060880186,0.064890638,0.002936008,0.476626529,2.332821456,4.493832765,-0.12435465,18001,0.988183904,7,3.126207141,0.676285267,0.200569209,0.065781975,0.055320753,0.001857627,0.433109079,2.497697798,3.165446331,-0.280616061,17317,0.976934633,7,3.012470108,0.509040121,0.345621092,0.079130857,0.063114507,0.002799129,0.486933746,2.209087135,2.601108798,-0.492838558,15906,0.991616282,8,3.091534458,0.389323259,0.350057624,0.173834095,0.08496633,0.001630278,0.555386347,1.799154946,1.689861882,-0.36773957,15970,0.982751089,7,2.966662444,0.523997203,0.32343526,0.08433405,0.065086776,0.002819173,0.485486993,2.244911642,3.676118125,-0.61753796,14942,0.985436972,8,3.085588098,0.565475749,0.288619067,0.077494568,0.06494885,0.003091974,0.48532514,2.28003322,13.26454612,0.690622205,15167,0.988659881,7,3.132925622,0.789706149,0.179591186,0.017276696,0.0128147,0.000553871,0.291081728,2.92806887,3.929781179,0.459014057,13946,0.986613834,7,3.08492395,0.729311727,0.20498496,0.039967779,0.024637772,0.000992369,0.347208642,2.712737909,4.40496062,-0.778881274,15452,0.967864089,7,2.965369378,0.585130292,0.290484892,0.061269808,0.059244609,0.003483379,0.474023893,2.382675512,8.998136148,0.407359177,15374,0.987731377,7,3.094215979,0.618073059,0.29221459,0.051501737,0.036843249,0.001231467,0.407345327,2.350676819,2.501442063,-0.214967732,14891,0.989419775,7,3.060610568,0.733088611,0.205418069,0.035353874,0.024886755,0.001142731,0.347232359,2.795659993
1,Pat1Train_37_0.mat,1,1.008891554,-0.166557124,24277,0.977550242,7,2.872830816,0.523394752,0.182968777,0.064583673,0.21879976,0.009235426,0.702072687,1.955669646,0.722301905,-0.101109955,23554,0.977581299,5,2.74547704,0.595218753,0.219532485,0.056787768,0.120059331,0.007601333,0.561659154,2.400437256,1.082072851,-0.187421421,21876,0.985975193,5,2.920497935,0.669604556,0.212121588,0.046333324,0.068056406,0.003482036,0.463630532,2.69570649,1.071310041,-0.165856917,15163,0.989730699,5,2.988521562,0.824357712,0.140901327,0.019022792,0.014808582,0.000806885,0.281324396,3.288585897,30.95977629,-1.175529642,19026,0.976298414,7,3.054389959,0.56639241,0.194548942,0.067911851,0.154523779,0.014688463,0.664705121,2.143389638,10.29507399,-0.674676257,16978,0.986112221,7,3.104219869,0.639875092,0.238183346,0.05158132,0.066260189,0.003705432,0.467568748,2.558643394,1.697944021,-0.439126065,17255,0.987354846,3,3.115080307,0.793447898,0.134087557,0.038731652,0.03212968,0.0014492,0.350923163,3.024835159,1.365327847,-0.190751181,17274,0.976202766,5,3.027945503,0.637469987,0.260399189,0.055319034,0.044102718,0.002478975,0.42450152,2.538563632,1.361634502,-0.349989724,16818,0.989540326,3,3.148791963,0.525162004,0.309722621,0.099720228,0.064023761,0.001227834,0.485780643,2.023604997,0.972588401,-0.394363441,17313,0.972124105,2,2.916791521,0.70073792,0.2016673,0.050325573,0.044526811,0.00246573,0.40191218,2.785048265,1.400267724,0.188968908,15443,0.984492403,5,3.073051968,0.75053201,0.178574469,0.035009417,0.033622549,0.002047667,0.370850978,2.860474305,0.169837175,-0.034658014,11214,0.990637571,5,3.154507107,0.877076112,0.110672305,0.008095963,0.003804455,0.000314799,0.222684425,3.155553776,2.352836876,0.614819798,15103,0.982364211,3,3.077695026,0.770575349,0.170877985,0.036563176,0.020606343,0.001252107,0.326814897,2.978550798,2.975700178,-0.663471877,17080,0.941287218,7,2.80521231,0.658892313,0.237265196,0.051771455,0.048666241,0.003100469,0.433359409,2.595886612,1.934215868,0.318041721,13987,0.984328016,7,3.081078002,0.768560372,0.185385324,0.027556832,0.017521418,0.000883546,0.320851352,2.767879342,0.737692856,0.030127363,15286,0.986921471,3,3.118745807,0.828337613,0.133942497,0.02219241,0.014323179,0.001089514,0.290002363,3.328212837
2,Pat1Train_38_0.mat,1,1.547980741,-0.285650631,24693,0.975681063,7,2.950327462,0.578712217,0.190691304,0.04918577,0.170233828,0.010130447,0.659057552,2.133649335,0.925489163,-0.090597919,23803,0.97684037,4,2.60444004,0.606956828,0.215948111,0.053253048,0.114783041,0.008219908,0.539068994,2.518664155,1.022511077,-0.145419054,22002,0.985490974,3,2.860727753,0.682511558,0.199207016,0.042230926,0.071823226,0.003841282,0.455643151,2.791675263,1.018148279,0.016798135,15563,0.988901871,3,2.969528281,0.797097391,0.166414824,0.018561237,0.016391758,0.001383976,0.296199391,3.334487996,17.13068955,-0.736880601,18140,0.978743951,7,3.018290915,0.613970123,0.181565697,0.063536354,0.128478882,0.011358627,0.612798858,2.269140759,5.067987221,-0.408597048,16592,0.985688628,4,3.068481377,0.72812938,0.178707893,0.040059389,0.049856572,0.00294266,0.414236972,2.855259855,1.659135954,-0.467790552,18234,0.984683524,3,3.082012982,0.795807388,0.137436585,0.029105806,0.035542862,0.001899934,0.354027916,3.238908311,1.431856803,-0.042322332,17911,0.97089278,4,2.976004473,0.717361099,0.209247418,0.034032932,0.036298373,0.002780029,0.385539948,2.946919057,2.224902847,-0.336358768,18159,0.985440943,2,3.08524122,0.677106145,0.210572271,0.051073277,0.059594879,0.001494381,0.41626036,2.513051618,1.027688012,-0.281796849,17665,0.964184391,2,2.867748152,0.745830699,0.180804054,0.037617748,0.033182761,0.002333426,0.360666231,3.086566928,2.646559391,0.491841446,15471,0.983434001,5,3.012216555,0.794781447,0.162460126,0.02132142,0.019452752,0.001809871,0.320031352,3.210243009,0.865259781,0.039477202,11453,0.990368111,4,3.110824615,0.872412139,0.115056313,0.00781481,0.004069415,0.000580156,0.226038413,3.50883056,2.986326373,0.634068152,15341,0.978234737,2,3.024980908,0.751375747,0.189451397,0.039323341,0.018092886,0.001611967,0.330152812,2.96068086,2.812739663,-0.509735126,17422,0.925345505,6,2.736047769,0.715975561,0.19994481,0.042380264,0.038639189,0.002798548,0.396587997,2.788875364,2.536066675,0.3175191,14174,0.981522365,7,3.063458657,0.81519287,0.150148244,0.021248158,0.012292607,0.00101876,0.294749405,3.007589225,1.838556464,-0.075679537,15885,0.98433864,3,3.078087777,0.7915164,0.164547219,0.025796585,0.016168526,0.001793263,0.310047116,3.290665033
3,Pat1Train_39_0.mat,1,1.671583478,-0.065875385,22520,0.978349601,7,2.7510319,0.580476132,0.210294211,0.058826929,0.142604487,0.007047463,0.567800034,2.294178983,1.054847684,-0.064262325,22300,0.979063139,3,2.85096206,0.643996479,0.198689363,0.052821812,0.096862117,0.006976695,0.512580818,2.542261556,2.722849291,-0.037692189,20468,0.98611543,3,2.898171728,0.709844644,0.191426817,0.036148696,0.059094803,0.003166991,0.417818672,2.864852209,2.456471061,0.187981537,15200,0.989660059,3,2.993362682,0.734497924,0.21263473,0.027646918,0.023902123,0.001193164,0.331884446,2.954406477,7.994223941,-0.454214517,16014,0.983781701,4,3.073427731,0.680707131,0.180300614,0.058590268,0.073954696,0.005919694,0.4839161,2.59664166,5.519059845,-0.608010397,15440,0.987905986,3,3.105749029,0.713098873,0.201630791,0.041961946,0.041030819,0.002051169,0.388738359,2.797655886,2.899392977,-0.478150346,18575,0.984913589,3,3.056061521,0.711037579,0.175541546,0.051251742,0.059136301,0.002716085,0.432206076,2.720927362,3.500144796,0.095353813,17705,0.97298727,3,2.959739426,0.711344647,0.199022004,0.041788743,0.044570312,0.002968052,0.403652091,2.840347857,3.528857546,-0.426068214,17027,0.985826326,3,3.07323249,0.655760884,0.220194598,0.056400811,0.06608917,0.001399323,0.428015457,2.358743242,3.374700604,-0.242935532,17519,0.963627963,3,2.752628397,0.661225378,0.235096266,0.050131924,0.049452255,0.003753921,0.420533575,2.729583797,6.282309143,0.498349268,15506,0.984938902,6,3.001562156,0.76677223,0.189449756,0.025534868,0.016650381,0.00144069,0.322717455,2.979236834,5.278566824,-0.027461653,11929,0.991037194,4,3.124345001,0.806195433,0.17420937,0.013341346,0.005605955,0.000580464,0.264971449,2.857746728,4.47446179,0.04127347,15359,0.975330499,2,2.960388158,0.691254282,0.233576064,0.04247401,0.029341531,0.003012317,0.379086078,2.83888739,5.542783685,-0.745387342,17363,0.936789294,7,2.771607983,0.66792213,0.235791878,0.050765337,0.041617433,0.003542739,0.421591068,2.642273433,7.238715333,0.30675567,14940,0.983178273,8,3.080366245,0.711569993,0.233957137,0.031712642,0.021120331,0.001465232,0.355898026,2.668434778,9.514012681,0.319734021,15423,0.986899487,6,3.083811447,0.703446044,0.239643578,0.034127838,0.02090825,0.001697378,0.351604961,2.780028772
4,Pat1Train_40_0.mat,1,0.901356025,-0.150100433,20321,0.98255779,3,2.625780438,0.662579471,0.183459498,0.057577596,0.091736885,0.004169483,0.460541456,2.651233905,0.991228305,0.136184301,20727,0.983557001,3,2.959529817,0.729944929,0.167985358,0.039763877,0.058046278,0.003870722,0.420949105,2.923351209,2.132676344,0.100674159,19090,0.986828221,3,2.999513699,0.782963879,0.14760959,0.02831844,0.038391225,0.002504349,0.358320438,3.231011201,1.434132237,-0.077453705,14543,0.9894096,3,3.01907284,0.847613942,0.119796698,0.017500903,0.0141466,0.00084897,0.266464108,3.729862958,5.45858151,-0.375140437,14998,0.985417039,3,3.060236299,0.716751147,0.164087359,0.052348722,0.061983909,0.004254384,0.458321024,2.708035445,2.655704579,-0.406454652,14233,0.988804071,2,3.113424122,0.802350955,0.143484817,0.028285039,0.024524714,0.001212969,0.323020888,3.219995276,2.26440562,-0.155477224,17471,0.986574138,3,3.051376228,0.802619363,0.129175016,0.033431291,0.032733514,0.001851309,0.343653671,3.291605754,1.7351072,0.17675649,17010,0.975996961,3,2.98123093,0.802450915,0.132923364,0.030721517,0.0313884,0.002281185,0.345856287,3.301029121,2.07058326,-0.387282961,15098,0.986752545,3,3.098998495,0.800077411,0.133722045,0.032606929,0.032561945,0.000928946,0.324033468,3.043074741,2.77947094,-0.198279895,17038,0.961491753,3,2.757741346,0.693063248,0.211517209,0.04415535,0.046204155,0.00458487,0.41671198,2.918398441,5.048401658,0.279314847,15327,0.983950705,4,3.047700274,0.815326228,0.141402356,0.023820512,0.017481282,0.001774656,0.311605959,3.357404708,5.986696282,-0.016832196,11858,0.990332805,3,3.142563735,0.833769081,0.144057062,0.014642561,0.006810769,0.000650686,0.257771842,3.185827612,4.393440017,-0.098400379,14655,0.975031328,3,2.977679045,0.729697898,0.190142947,0.040391403,0.03511167,0.004074033,0.393850201,3.106592132,4.565075974,-0.573010165,16878,0.950413093,3,2.868838566,0.717550351,0.191139291,0.045767501,0.041237549,0.003878717,0.411371259,2.860922183,7.172424429,-0.012058124,14922,0.983518471,7,3.102639567,0.726639137,0.203834692,0.041011104,0.026537288,0.001741149,0.36883659,2.75442074,4.263071726,-0.035208871,14684,0.987100517,3,3.081329462,0.753105704,0.194158066,0.029849515,0.020813942,0.001819586,0.335263521,3.131717259
5,Pat1Train_41_0.mat,1,0.823325794,-0.062299558,20024,0.983206717,3,2.636748167,0.701365453,0.164535372,0.052378936,0.077668424,0.003676425,0.43168966,2.801411125,0.891278581,0.110967565,20230,0.984323963,3,2.925637548,0.779001793,0.134459523,0.035126719,0.047891054,0.003185242,0.384070673,3.171678414,1.512769028,0.051086745,18961,0.987092123,3,2.973621177,0.833677031,0.110347875,0.022089719,0.031718191,0.001981908,0.323754689,3.591612655,1.153044204,0.00524135,14270,0.989275194,2,3.013899917,0.874389504,0.096140895,0.015373684,0.013286995,0.000726417,0.250180901,3.957860627,4.004357519,-0.462593003,15097,0.986545872,3,3.098067709,0.73137797,0.15835291,0.051056779,0.056263295,0.002660475,0.420307353,2.744803475,1.512032522,-0.273412947,14044,0.988734134,2,3.125625288,0.842136536,0.112822814,0.023445304,0.020480643,0.001016807,0.289235667,3.50437469,1.73194208,-0.245023534,17422,0.986768933,3,3.132367657,0.829480813,0.104898382,0.032655062,0.031138626,0.001638662,0.334257716,3.362788044,1.378234348,0.119686367,16995,0.97731089,2,3.016157188,0.833049088,0.111411416,0.026392876,0.026728441,0.002242767,0.321799321,3.580096806,1.964119674,-0.464754339,14617,0.987491841,3,3.092434888,0.854239081,0.102420048,0.020678694,0.021803272,0.00077611,0.276811579,3.525141691,1.762415557,-0.158277815,16613,0.965849386,3,2.800883715,0.744622512,0.175584029,0.035343301,0.039674556,0.004419431,0.380032283,3.202172198,4.497854432,0.232562336,15510,0.983897873,3,3.021559617,0.833521527,0.126117493,0.02181692,0.016904281,0.001473572,0.297346758,3.504550803,4.638708328,0.13919116,11587,0.989959862,2,3.114433013,0.862989854,0.120248376,0.010566897,0.005572644,0.000574524,0.236626273,3.452849146,3.443749504,-0.03275564,14354,0.975084454,3,3.000072079,0.759646132,0.167464054,0.033449137,0.034948149,0.004067479,0.38739106,3.286056958,3.960440925,-0.567059274,17048,0.948240247,3,2.83860485,0.739834084,0.17461948,0.039431428,0.04173726,0.003917923,0.401693308,3.010892124,7.156616676,-0.050758745,14815,0.983139037,3,3.098517118,0.72996462,0.203753948,0.036999459,0.027150453,0.001894476,0.366515722,2.882249631,4.118776836,0.046376904,14559,0.987201341,3,3.08704582,0.777239296,0.176354683,0.025725947,0.019098074,0.001430395,0.318053989,3.212779646
6,Pat1Train_42_0.mat,1,1.258630255,-0.199783209,20913,0.982039185,4,2.812889756,0.659162662,0.179155475,0.051613996,0.105097444,0.004457052,0.497214986,2.515047309,0.792692279,0.038166391,21223,0.982845831,3,2.816090654,0.71568768,0.16645049,0.041854859,0.071211526,0.004356775,0.438508854,2.868954943,1.354872467,0.020861622,19262,0.98697598,3,2.95026477,0.776796013,0.149259332,0.029282946,0.042229492,0.002207299,0.365808337,3.205852772,1.409114186,-0.047047178,14655,0.989456905,3,3.019208511,0.858233041,0.111760138,0.015683707,0.013450341,0.000789333,0.262616779,3.611072935,6.692050396,-0.38047631,16194,0.985866025,7,3.093737931,0.691001221,0.185096852,0.051743453,0.067430021,0.00425536,0.470480157,2.634306203,2.317969739,-0.28371485,15155,0.98843828,2,3.108167908,0.794346235,0.149256152,0.029583037,0.025575998,0.001120312,0.327015497,3.108205112,4.439745892,-0.244001114,17701,0.986884423,2,3.076419891,0.809249678,0.121851142,0.032880589,0.034317067,0.001541682,0.344985164,3.236816601,1.825080357,0.037685426,17395,0.975989834,3,3.01728168,0.768244777,0.164173906,0.030100798,0.034661512,0.002580237,0.362791769,3.131771181,2.150559975,-0.367325173,15297,0.988608106,3,3.081721542,0.765509642,0.1605249,0.033008409,0.040033687,0.000842403,0.348385284,2.786774846,1.249371892,-0.147628958,16914,0.970719846,3,2.79282611,0.740695762,0.177641098,0.038734549,0.039408712,0.003181759,0.373815895,3.085477275,2.65828577,0.145082529,15257,0.983999478,4,2.98532943,0.811298095,0.139614822,0.025445884,0.021842573,0.001618632,0.316038955,3.275553113,3.291242685,0.3904531,12112,0.989633665,3,3.127558784,0.860214126,0.122776678,0.010436405,0.005710469,0.000792594,0.238860105,3.529847699,3.515808388,0.43749592,14454,0.980423475,2,3.019214582,0.753649409,0.185556855,0.033260179,0.025066316,0.001983688,0.347975174,3.089519274,5.387971533,-0.849188077,16682,0.948001617,8,2.798159032,0.703528461,0.204023346,0.046346915,0.043206417,0.002649564,0.40511656,2.699156917,5.667272787,0.280273567,14529,0.983500077,8,3.058316188,0.760547611,0.187895654,0.030995093,0.018959675,0.001445631,0.334799028,2.815732076,4.635360774,0.006083446,15024,0.986105587,3,3.099931588,0.770383199,0.179838586,0.026237872,0.02142534,0.001941273,0.331766847,3.182454328
7,Pat1Train_43_0.mat,1,1.306188498,-0.096327117,22370,0.979149053,4,2.473053673,0.595473525,0.201827521,0.058007663,0.136921159,0.00701318,0.533908768,2.459087174,0.990978446,-0.025992823,22144,0.981387934,3,2.550465247,0.687488493,0.176184252,0.045155089,0.084911104,0.005646724,0.452200034,2.86349867,3.111949225,0.067659183,20449,0.985786953,3,3.011440968,0.743037302,0.159992372,0.03641521,0.057071284,0.003167509,0.41236457,2.93620129,3.492336485,0.031421712,14811,0.990304931,3,2.897434528,0.746605983,0.204329358,0.027306047,0.020762655,0.00089421,0.314832288,2.941606219,9.525720185,-0.151181455,16026,0.984451919,3,3.047318544,0.657569165,0.190413284,0.059422353,0.085640265,0.00644186,0.522182111,2.486369669,6.655846792,-0.798281818,15451,0.988629393,3,3.11770248,0.738701871,0.189216702,0.037818228,0.032804445,0.001324725,0.363600793,2.835822613,4.969208003,-0.689321505,18357,0.98644431,3,3.083932671,0.711365327,0.180398979,0.050451486,0.05526922,0.002287776,0.423550661,2.681972128,3.385959411,0.111675017,17871,0.975175058,3,2.972096535,0.704797984,0.206876464,0.042141563,0.043194935,0.002729645,0.400161842,2.799097953,3.586148359,-0.368518357,16506,0.987975913,3,3.079329299,0.634898303,0.221861015,0.066266133,0.075576722,0.001249783,0.443535251,2.256146871,3.007428119,-0.203792063,16608,0.977096203,3,2.689408982,0.644141773,0.258549515,0.052069525,0.042719565,0.002286535,0.392966433,2.703133181,5.595982912,0.263976184,15284,0.984181553,7,3.03313452,0.747492699,0.196687116,0.032575803,0.021826798,0.001309751,0.335082702,2.842539547,6.900837819,0.516767524,11952,0.990493639,3,3.144437824,0.838108203,0.145329228,0.0111987,0.004966448,0.000362281,0.241955015,2.893463586,6.512222929,0.293515783,14394,0.98123342,2,2.987979487,0.674057703,0.261245666,0.039771016,0.023525421,0.001289675,0.356018753,2.582388579,4.447668554,-0.63945789,16884,0.955766711,9,2.775868852,0.692540297,0.224865378,0.045152383,0.03503511,0.002187507,0.386655288,2.713870487,8.719944359,0.241861963,15112,0.985239653,9,3.105766004,0.687222298,0.253413874,0.036658004,0.021482865,0.001124179,0.358651003,2.485224785,6.05652077,0.03711608,15185,0.987747693,4,3.107331181,0.711560287,0.23001191,0.034552977,0.022558252,0.001198857,0.343313983,2.767573158
8,Pat1Train_44_0.mat,1,0.798837598,-0.019034911,19420,0.984498714,3,2.699625292,0.720129789,0.164187452,0.047993993,0.064383921,0.00298017,0.406283923,2.88886951,0.917133082,0.135244301,19888,0.985682323,3,2.898517502,0.784572203,0.138384298,0.032785768,0.041350429,0.002640714,0.361173499,3.270469089,2.065853679,-0.02268136,18234,0.987887004,3,3.077250466,0.848562978,0.104724695,0.020661669,0.024165038,0.001741436,0.301504687,3.681967213,1.293487359,-0.025164999,13830,0.989685557,2,2.97473219,0.861076076,0.111739479,0.014541362,0.011964817,0.000615362,0.247237838,3.785471704,3.801322351,-0.223006018,14428,0.986512413,2,3.091952165,0.758048535,0.146345044,0.043590925,0.048124283,0.00348554,0.41006665,2.930869122,2.086156977,-0.430706011,13684,0.989362252,2,3.123091569,0.844733052,0.117792673,0.021100807,0.015554607,0.000742046,0.277483831,3.462551274,2.125191142,-0.289051769,16904,0.988369263,2,3.107883246,0.806496293,0.128493811,0.034739429,0.028938232,0.001192403,0.332152466,3.215964902,1.948412907,0.126608435,16664,0.980838011,2,3.016371009,0.831963375,0.114218229,0.027469499,0.024700362,0.001491347,0.310417953,3.515114066,1.924435212,-0.39434396,14263,0.989514201,3,3.098985913,0.837186771,0.118027104,0.021835953,0.022456092,0.000446938,0.278924394,3.24118379,2.785767353,-0.283944211,16311,0.981873974,3,2.866522039,0.719379325,0.203297532,0.038359953,0.036896746,0.001869209,0.361771244,2.984699,6.712317161,0.607087489,14758,0.986621844,3,3.102865241,0.83265992,0.133342642,0.021055446,0.012113618,0.000742869,0.274488028,3.253695716,5.844134751,-0.033562937,11172,0.99006639,2,3.166528323,0.872493412,0.112528764,0.010832047,0.003875952,0.000241791,0.218215816,3.118422005,5.369000899,-0.10132334,13843,0.984840532,2,3.093567872,0.761465755,0.17929552,0.034962231,0.023242611,0.000924256,0.325643134,2.888828108,4.159406614,-0.580742384,16090,0.96946735,3,2.916915523,0.742318013,0.185570997,0.036512402,0.033594736,0.001822455,0.363330265,2.904153972,8.375189046,0.361822365,14376,0.987242947,5,3.148874555,0.73848204,0.207606977,0.032245545,0.020789392,0.000795593,0.334499555,2.643344777,3.530307879,-0.001864334,13969,0.988809135,2,3.11370393,0.80595293,0.153556698,0.024231173,0.015261374,0.000919642,0.287642207,3.195012032
9,Pat1Train_45_0.mat,1,0.997434458,-0.137929755,20377,0.983667838,3,2.694607841,0.690739568,0.165618989,0.046769912,0.092598027,0.003831778,0.458186604,2.720830587,0.753096584,0.107980289,20588,0.984894734,3,2.746318864,0.771325407,0.139782376,0.033225067,0.052019708,0.003312788,0.380529015,3.234153827,1.705826138,-0.061972966,18956,0.98746547,3,3.004253239,0.841758526,0.103084804,0.02063018,0.032285227,0.002025556,0.32094097,3.66422338,0.863761595,0.024760437,13392,0.989662617,2,2.957342662,0.868219504,0.107113976,0.013670588,0.010464567,0.000477922,0.237282845,3.729249505,2.234426525,-0.228993279,15296,0.987659012,2,3.076479651,0.774804004,0.153379245,0.037049338,0.032604404,0.001975997,0.364476909,3.017646828,1.724965688,-0.208120516,14191,0.98899241,2,3.108026917,0.849023557,0.118550389,0.018240876,0.013531965,0.000589296,0.264892147,3.512613508,1.799018437,-0.256773923,16965,0.987508872,3,3.127716744,0.825241295,0.12165339,0.02662106,0.024956918,0.001386733,0.314026289,3.45192662,1.035951715,0.146379961,16648,0.978680828,2,3.024030155,0.826700749,0.123654441,0.024798171,0.022799129,0.001881453,0.30847441,3.569996549,1.441290784,-0.413250657,14024,0.98890159,3,3.108984466,0.844338979,0.115155726,0.019374502,0.020628492,0.000454731,0.273694466,3.343046546,1.493281965,-0.151682471,16360,0.975894991,3,2.761519374,0.748292593,0.178061725,0.037384022,0.034060947,0.002008651,0.350892972,3.117398129,4.246033038,0.367331503,14494,0.985657036,3,3.043106292,0.835826533,0.125341053,0.021541,0.016168808,0.001028845,0.28693376,3.397652345,4.383843982,0.007940454,10856,0.990197927,2,3.145095207,0.872828767,0.112286399,0.010389962,0.004208541,0.00026517,0.221139725,3.15937208,2.270003093,0.164674141,13557,0.980541217,2,3.061310987,0.7539719,0.187232156,0.032590255,0.023931217,0.002042549,0.340718653,3.122175234,3.983254136,-0.479977215,16277,0.960677064,6,2.905678857,0.736761306,0.181043455,0.042716967,0.036772631,0.002420573,0.383934336,2.887869215,7.138844926,0.093168176,14246,0.985469729,7,3.121244558,0.745725212,0.200592056,0.031965,0.020549142,0.00107236,0.33366929,2.752961917,2.48174389,-0.100996606,13918,0.988076162,2,3.095057972,0.808966047,0.151171313,0.024598047,0.01416213,0.001020557,0.287218795,3.268167527
