image,class
Pat1Test_1_0,0.318987437
Pat1Test_2_0,0.359585289
Pat1Test_3_0,0.220680193
Pat1Test_4_0,0.571049656
Pat1Test_5_0,0.597800142
Pat1Test_6_0,0.523838927
Pat1Test_7_0,0.459849324
Pat1Test_8_0,0.610169082
Pat1Test_9_0,0.497225871
Pat1Test_10_0,0.288396471
Pat1Test_11_0,0.209230672
Pat1Test_12_0,0.323497103
Pat1Test_13_0,0.561846375
Pat1Test_14_0,0.562341691
Pat1Test_15_0,0.580515916
Pat1Test_16_0,0.664225747
Pat1Test_17_0,0.726570862
Pat1Test_18_0,0.306883065
Pat1Test_19_0,0.541711223
Pat1Test_20_0,0.237191045
Pat1Test_21_0,0.51268438
Pat1Test_22_0,0.331428801
Pat1Test_23_0,0.382968353
Pat1Test_24_0,0.60030126
Pat1Test_25_0,0.646499209
Pat1Test_26_0,0.784624882
Pat1Test_27_0,0.50063968
Pat1Test_28_0,0.402395303
Pat1Test_29_0,0.297074262
Pat1Test_30_0,0.805976319
Pat1Test_31_0,0.222018098
Pat1Test_32_0,0.466295967
Pat1Test_33_0,0.424697349
Pat1Test_34_0,0.569713726
Pat1Test_35_0,0.653657094
Pat1Test_36_0,0.522680334
Pat1Test_37_0,0.452854972
Pat1Test_38_0,0.708060872
Pat1Test_39_0,0.631340189
Pat1Test_40_0,0.610137626
Pat1Test_41_0,0.497225871
Pat1Test_42_0,0.497225871
Pat1Test_43_0,0.647665198
Pat1Test_44_0,0.626578026
Pat1Test_45_0,0.704026025
Pat1Test_46_0,0.266838514
Pat1Test_47_0,0.779136888
Pat1Test_48_0,0.243318009
Pat1Test_49_0,0.531497061
Pat1Test_50_0,0.579207222
Pat1Test_51_0,0.418398293
Pat1Test_52_0,0.700618141
Pat1Test_53_0,0.53645996
Pat1Test_54_0,0.312737857
Pat1Test_55_0,0.823347264
Pat1Test_56_0,0.302077899
Pat1Test_57_0,0.80546435
Pat1Test_58_0,0.42565779
Pat1Test_59_0,0.497225871
Pat1Test_60_0,0.356696287
Pat1Test_61_0,0.692359766
Pat1Test_62_0,0.592448724
Pat1Test_63_0,0.231404449
Pat1Test_64_0,0.552950405
Pat1Test_65_0,0.536998807
Pat1Test_66_0,0.112235183
Pat1Test_67_0,0.686066138
Pat1Test_68_0,0.573619321
Pat1Test_69_0,0.767975572
Pat1Test_70_0,0.609065271
Pat1Test_71_0,0.885688824
Pat1Test_72_0,0.550120368
Pat1Test_73_0,0.338926921
Pat1Test_74_0,0.509731678
Pat1Test_75_0,0.392534202
Pat1Test_76_0,0.542054817
Pat1Test_77_0,0.512956948
Pat1Test_78_0,0.601917187
Pat1Test_79_0,0.497225871
Pat1Test_80_0,0.887695031
Pat1Test_81_0,0.366566513
Pat1Test_82_0,0.345292946
Pat1Test_83_0,0.735698436
Pat1Test_84_0,0.570841037
Pat1Test_85_0,0.831220591
Pat1Test_86_0,0.230564723
Pat1Test_87_0,0.559449537
Pat1Test_88_0,0.637633934
Pat1Test_89_0,0.88772328
Pat1Test_90_0,0.618335303
Pat1Test_91_0,0.418887901
Pat1Test_92_0,0.688400748
Pat1Test_93_0,0.545448066
Pat1Test_94_0,0.580582824
Pat1Test_95_0,0.601460122
Pat1Test_96_0,0.277381194
Pat1Test_97_0,0.565302676
Pat1Test_98_0,0.23068229
Pat1Test_99_0,0.590931529
Pat1Test_100_0,0.542636327
Pat1Test_101_0,0.55440395
Pat1Test_102_0,0.220126636
Pat1Test_103_0,0.484592029
Pat1Test_104_0,0.556436125
Pat1Test_105_0,0.497225871
Pat1Test_106_0,0.49623709
Pat1Test_107_0,0.625638371
Pat1Test_108_0,0.475077849
Pat1Test_109_0,0.462463519
Pat1Test_110_0,0.699311756
Pat1Test_111_0,0.546314735
Pat1Test_112_0,0.394582075
Pat1Test_113_0,0.342614544
Pat1Test_114_0,0.43024819
Pat1Test_115_0,0.789982744
Pat1Test_116_0,0.675326977
Pat1Test_117_0,0.357525219
Pat1Test_118_0,0.46248885
Pat1Test_119_0,0.358540924
Pat1Test_120_0,0.325161848
